2013-05-28 19:49:20,web/michel/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/ruan/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/silvana/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/thais/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/viniciusesser/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/viniciussebold/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:49:20,web/willian/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:35:10,web/daniel/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:31:21,web/daniel/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-28 19:29:09,web/daniel/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-05-21 21:49:33,web/index.jsp, Qtd total de linhas: 17, Qtd Linhas Scriplets: 5, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
