DATA	CAMINHO	"QTD GERAL
 LINHAS"	"LINHAS
SCRIPLETS"	"LINHAS
TAGLIB"	"LINHAS
HTML"	"LINHAS
SCRIPLETS
COMENTADAS"
2015-01-05 07:10:32	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	76	0	3	50	23
2015-01-05 07:10:32	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	62	0	3	56	3
2014-12-19 11:38:55	web/src/main/webapp/WEB-INF/jsp/experiments.jsp	79	0	2	56	21
2014-12-19 10:28:18	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	310	0	8	276	26
2014-12-19 07:26:01	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	163	0	4	135	24
2014-12-18 16:43:21	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	309	0	8	275	26
2014-12-18 16:43:21	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	66	0	2	57	7
2014-12-18 14:27:36	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	129	0	10	98	21
2014-12-18 14:27:36	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	70	0	3	44	23
2014-12-18 14:27:36	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram.jsp	2	0	0	2	0
2014-12-17 09:52:31	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-js.jsp	13	0	0	12	1
2014-12-17 09:52:31	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	61	0	3	55	3
2014-12-17 08:40:16	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	68	0	2	43	23
2014-12-17 08:38:18	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	68	0	2	43	23
2014-12-16 06:21:36	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	64	0	2	57	5
2014-12-12 16:26:55	web/src/main/webapp/WEB-INF/jsp/home.jsp	225	0	2	196	27
2014-12-12 12:48:49	web/src/main/webapp/WEB-INF/jsp/home.jsp	207	0	2	180	25
2014-12-12 12:48:49	web/src/main/webapp/WEB-INF/jsp/layout.jsp	207	0	4	182	21
2014-12-12 11:14:39	web/src/main/webapp/WEB-INF/jsp/home.jsp	225	0	2	196	27
2014-12-11 14:26:44	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	48	0	2	41	5
2014-12-11 13:48:59	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	48	0	2	41	5
2014-12-11 07:27:52	web/src/main/webapp/WEB-INF/jsp/home.jsp	220	0	2	191	27
2014-12-10 15:49:19	web/src/main/webapp/WEB-INF/jsp/heatmap-widget.jsp	67	0	5	62	0
2014-12-10 15:49:19	web/src/main/webapp/WEB-INF/jsp/includes/flot.jsp	11	0	0	10	1
2014-12-10 15:49:19	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	74	0	2	69	3
2014-12-04 08:11:19	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	133	0	10	102	21
